concurrency,strategy,runs,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,wrong_rate_mean,wrong_rate_std
1,pid,5,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000
1,pid_tid,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,time_window_1000ms,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,time_window_100ms,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,time_window_10ms,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,time_window_1ms,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,time_window_500ms,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,time_window_50ms,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,time_window_5ms,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,pid,5,0.5000,0.0000,0.5000,0.0000,0.5000,0.0000,0.5000,0.0000
2,pid_tid,5,0.2000,0.4000,0.0500,0.1000,0.0800,0.1600,0.2000,0.1000
2,time_window_1000ms,5,1.0000,0.0000,0.2500,0.0000,0.4000,0.0000,0.0000,0.0000
2,time_window_100ms,5,1.0000,0.0000,0.2500,0.0000,0.4000,0.0000,0.0000,0.0000
2,time_window_10ms,5,1.0000,0.0000,0.2500,0.0000,0.4000,0.0000,0.0000,0.0000
2,time_window_1ms,5,1.0000,0.0000,0.1750,0.0612,0.2933,0.0871,0.0000,0.0000
2,time_window_500ms,5,1.0000,0.0000,0.2500,0.0000,0.4000,0.0000,0.0000,0.0000
2,time_window_50ms,5,1.0000,0.0000,0.2500,0.0000,0.4000,0.0000,0.0000,0.0000
2,time_window_5ms,5,1.0000,0.0000,0.2500,0.0000,0.4000,0.0000,0.0000,0.0000
4,pid,5,0.2500,0.0000,0.2500,0.0000,0.2500,0.0000,0.7500,0.0000
4,pid_tid,5,0.4000,0.1789,0.1250,0.0559,0.1905,0.0852,0.1875,0.0559
4,time_window_1000ms,5,0.6000,0.0000,0.1875,0.0000,0.2857,0.0000,0.1250,0.0000
4,time_window_100ms,5,0.6000,0.0000,0.1875,0.0000,0.2857,0.0000,0.1250,0.0000
4,time_window_10ms,5,0.6000,0.0000,0.1875,0.0000,0.2857,0.0000,0.1250,0.0000
4,time_window_1ms,5,0.6000,0.0000,0.1875,0.0000,0.2857,0.0000,0.1250,0.0000
4,time_window_500ms,5,0.6000,0.0000,0.1875,0.0000,0.2857,0.0000,0.1250,0.0000
4,time_window_50ms,5,0.6000,0.0000,0.1875,0.0000,0.2857,0.0000,0.1250,0.0000
4,time_window_5ms,5,0.6000,0.0000,0.1875,0.0000,0.2857,0.0000,0.1250,0.0000
8,pid,5,0.1250,0.0000,0.1250,0.0000,0.1250,0.0000,0.8750,0.0000
8,pid_tid,5,0.1454,0.0445,0.0500,0.0153,0.0744,0.0228,0.2937,0.0153
8,time_window_1000ms,5,0.2727,0.1150,0.0937,0.0395,0.1395,0.0588,0.2500,0.0395
8,time_window_100ms,5,0.2727,0.1150,0.0937,0.0395,0.1395,0.0588,0.2500,0.0395
8,time_window_10ms,5,0.2727,0.1150,0.0937,0.0395,0.1395,0.0588,0.2500,0.0395
8,time_window_1ms,5,0.2727,0.1150,0.0937,0.0395,0.1395,0.0588,0.2500,0.0395
8,time_window_500ms,5,0.2727,0.1150,0.0937,0.0395,0.1395,0.0588,0.2500,0.0395
8,time_window_50ms,5,0.2727,0.1150,0.0937,0.0395,0.1395,0.0588,0.2500,0.0395
8,time_window_5ms,5,0.2727,0.1150,0.0937,0.0395,0.1395,0.0588,0.2500,0.0395
16,pid,5,0.0625,0.0000,0.0625,0.0000,0.0625,0.0000,0.9375,0.0000
16,pid_tid,5,0.1000,0.0306,0.0250,0.0076,0.0400,0.0122,0.2250,0.0076
16,time_window_1000ms,5,0.1375,0.0468,0.0344,0.0117,0.0550,0.0187,0.2156,0.0117
16,time_window_100ms,5,0.1375,0.0468,0.0344,0.0117,0.0550,0.0187,0.2156,0.0117
16,time_window_10ms,5,0.1375,0.0468,0.0344,0.0117,0.0550,0.0187,0.2156,0.0117
16,time_window_1ms,5,0.1375,0.0468,0.0344,0.0117,0.0550,0.0187,0.2156,0.0117
16,time_window_500ms,5,0.1375,0.0468,0.0344,0.0117,0.0550,0.0187,0.2156,0.0117
16,time_window_50ms,5,0.1375,0.0468,0.0344,0.0117,0.0550,0.0187,0.2156,0.0117
16,time_window_5ms,5,0.1375,0.0468,0.0344,0.0117,0.0550,0.0187,0.2156,0.0117
32,pid,5,0.0312,0.0000,0.0312,0.0000,0.0312,0.0000,0.9688,0.0000
32,pid_tid,5,0.0512,0.0271,0.0172,0.0091,0.0257,0.0136,0.3187,0.0091
32,time_window_1000ms,5,0.0465,0.0147,0.0156,0.0049,0.0234,0.0074,0.3203,0.0049
32,time_window_100ms,5,0.0465,0.0147,0.0156,0.0049,0.0234,0.0074,0.3203,0.0049
32,time_window_10ms,5,0.0465,0.0147,0.0156,0.0049,0.0234,0.0074,0.3203,0.0049
32,time_window_1ms,5,0.0465,0.0147,0.0156,0.0049,0.0234,0.0074,0.3203,0.0049
32,time_window_500ms,5,0.0465,0.0147,0.0156,0.0049,0.0234,0.0074,0.3203,0.0049
32,time_window_50ms,5,0.0465,0.0147,0.0156,0.0049,0.0234,0.0074,0.3203,0.0049
32,time_window_5ms,5,0.0465,0.0147,0.0156,0.0049,0.0234,0.0074,0.3203,0.0049
64,pid,5,0.0156,0.0000,0.0156,0.0000,0.0156,0.0000,0.9844,0.0000
64,pid_tid,5,0.0304,0.0082,0.0109,0.0029,0.0161,0.0043,0.3485,0.0029
64,time_window_1000ms,5,0.0304,0.0107,0.0109,0.0038,0.0161,0.0056,0.3485,0.0038
64,time_window_100ms,5,0.0304,0.0107,0.0109,0.0038,0.0161,0.0056,0.3485,0.0038
64,time_window_10ms,5,0.0304,0.0107,0.0109,0.0038,0.0161,0.0056,0.3485,0.0038
64,time_window_1ms,5,0.0304,0.0107,0.0109,0.0038,0.0161,0.0056,0.3485,0.0038
64,time_window_500ms,5,0.0304,0.0107,0.0109,0.0038,0.0161,0.0056,0.3485,0.0038
64,time_window_50ms,5,0.0304,0.0107,0.0109,0.0038,0.0161,0.0056,0.3485,0.0038
64,time_window_5ms,5,0.0304,0.0107,0.0109,0.0038,0.0161,0.0056,0.3485,0.0038
